"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6365","should click category with subcategory and navigate","chromium","Wed Dec 03 14:50:17 UTC 2025","passed","Wed Dec 03 14:50:23 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","4069","should click category without subcategory","chromium","Wed Dec 03 14:50:12 UTC 2025","passed","Wed Dec 03 14:50:16 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","4155","should get subcategories for specific category","chromium","Wed Dec 03 14:50:27 UTC 2025","passed","Wed Dec 03 14:50:31 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","4323","should expand and collapse categories","chromium","Wed Dec 03 14:50:23 UTC 2025","passed","Wed Dec 03 14:50:27 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","1356","should verify category filter is visible","chromium","Wed Dec 03 14:50:31 UTC 2025","passed","Wed Dec 03 14:50:33 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","7833","should verify home page title","chromium","Wed Dec 03 14:49:59 UTC 2025","passed","Wed Dec 03 14:50:07 UTC 2025","Automation Exercise Tests","automation-exercise.spec.ts","",""
"","1496","should verify category section is visible","chromium","Wed Dec 03 14:50:07 UTC 2025","passed","Wed Dec 03 14:50:08 UTC 2025","Automation Exercise Tests","automation-exercise.spec.ts","",""
"","23923","should verify user is logged in on home page","chromium","Wed Dec 03 14:49:34 UTC 2025","passed","Wed Dec 03 14:49:58 UTC 2025","Automation Exercise Tests","automation-exercise.spec.ts","",""
"","9800","should navigate through multiple subcategories","chromium","Wed Dec 03 14:50:33 UTC 2025","passed","Wed Dec 03 14:50:43 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
"","4013","should extract and display all categories with subcategories","chromium","Wed Dec 03 14:50:08 UTC 2025","passed","Wed Dec 03 14:50:12 UTC 2025","Category Filter Tests","category-filter.spec.ts","",""
